"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","957,556","469,880","487,676","55,910","59,183","65,460","75,981","80,588","131,325","122,500","130,437","60,735","54,636","69,034","35,594","16,173","35.8","734,320","683,428","151,833","120,801","734,320","355,869","378,451","120,801","52,385","68,416","","957,556","921,495","36,061","921,495","468,776","31,348","6,693","261","86","402","42","201,826","6,871","96,367","46,036","6,324","15,925","13,838","16,465","2,090","469","191","829","601","210,762","36,061","3,681","3,827","8,301","435","","957,556","496,832","38,492","13,117","217,132","4,702","226,302","","957,556","521,102","449,117","5,087","3,371","63,527","436,454","186,291","29,181","2,790","199,144","1,833","1,645","15,570","1,627","13,943","278,084","","599,355","288,418","310,937"
"    Percent","","957,556","49.1%","50.9%","5.8%","6.2%","6.8%","7.9%","8.4%","13.7%","12.8%","13.6%","6.3%","5.7%","7.2%","3.7%","1.7%","(X)","76.7%","71.4%","15.9%","12.6%","734,320","48.5%","51.5%","120,801","43.4%","56.6%","","957,556","96.2%","3.8%","96.2%","49.0%","3.3%","0.7%","0.0%","0.0%","0.0%","0.0%","21.1%","0.7%","10.1%","4.8%","0.7%","1.7%","1.4%","1.7%","0.2%","0.0%","0.0%","0.1%","0.1%","22.0%","3.8%","0.4%","0.4%","0.9%","0.0%","","957,556","51.9%","4.0%","1.4%","22.7%","0.5%","23.6%","","957,556","54.4%","46.9%","0.5%","0.4%","6.6%","45.6%","19.5%","3.0%","0.3%","20.8%","0.2%","0.2%","1.6%","0.2%","1.5%","(X)","","599,355","48.1%","51.9%"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","374,452","180,556","193,896","27,749","27,497","26,542","25,353","28,606","59,259","51,372","49,903","21,396","17,969","22,496","11,484","4,826","33.6","277,402","261,055","48,960","38,806","277,402","130,305","147,097","38,806","16,181","22,625","","374,452","354,817","19,635","354,817","125,742","108,197","1,746","56","0","23","12","29,669","1,481","2,848","6,556","5,943","4,651","4,883","3,307","1,378","278","100","229","771","88,085","19,635","3,030","4,344","2,179","1,958","","374,452","140,489","117,555","10,898","34,464","2,636","91,759","","374,452","198,079","143,883","1,665","1,852","50,679","176,373","29,028","105,898","310","28,751","1,322","1,436","9,628","380","9,248","127,449","","213,006","97,440","115,566"
"    Percent","","374,452","48.2%","51.8%","7.4%","7.3%","7.1%","6.8%","7.6%","15.8%","13.7%","13.3%","5.7%","4.8%","6.0%","3.1%","1.3%","(X)","74.1%","69.7%","13.1%","10.4%","277,402","47.0%","53.0%","38,806","41.7%","58.3%","","374,452","94.8%","5.2%","94.8%","33.6%","28.9%","0.5%","0.0%","0.0%","0.0%","0.0%","7.9%","0.4%","0.8%","1.8%","1.6%","1.2%","1.3%","0.9%","0.4%","0.1%","0.0%","0.1%","0.2%","23.5%","5.2%","0.8%","1.2%","0.6%","0.5%","","374,452","37.5%","31.4%","2.9%","9.2%","0.7%","24.5%","","374,452","52.9%","38.4%","0.4%","0.5%","13.5%","47.1%","7.8%","28.3%","0.1%","7.7%","0.4%","0.4%","2.6%","0.1%","2.5%","(X)","","213,006","45.7%","54.3%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","578,925","285,385","293,540","40,237","36,949","37,128","42,109","47,279","88,582","82,720","80,482","35,000","28,565","34,721","17,441","7,712","34.7","438,513","413,330","76,400","59,874","438,513","213,848","224,665","59,874","26,995","32,879","","578,925","545,462","33,463","545,462","309,517","68,609","6,131","304","67","176","151","78,921","3,065","6,274","28,927","3,485","4,206","5,309","27,655","6,137","609","1,098","3,729","701","76,147","33,463","4,244","5,133","6,985","1,788","","578,925","335,608","79,839","17,480","90,322","9,459","84,690","","578,925","239,492","196,935","4,189","1,661","36,707","339,433","168,093","66,628","1,640","77,681","5,745","1,475","18,171","863","17,308","211,078","","366,901","178,259","188,642"
"    Percent","","578,925","49.3%","50.7%","7.0%","6.4%","6.4%","7.3%","8.2%","15.3%","14.3%","13.9%","6.0%","4.9%","6.0%","3.0%","1.3%","(X)","75.7%","71.4%","13.2%","10.3%","438,513","48.8%","51.2%","59,874","45.1%","54.9%","","578,925","94.2%","5.8%","94.2%","53.5%","11.9%","1.1%","0.1%","0.0%","0.0%","0.0%","13.6%","0.5%","1.1%","5.0%","0.6%","0.7%","0.9%","4.8%","1.1%","0.1%","0.2%","0.6%","0.1%","13.2%","5.8%","0.7%","0.9%","1.2%","0.3%","","578,925","58.0%","13.8%","3.0%","15.6%","1.6%","14.6%","","578,925","41.4%","34.0%","0.7%","0.3%","6.3%","58.6%","29.0%","11.5%","0.3%","13.4%","1.0%","0.3%","3.1%","0.1%","3.0%","(X)","","366,901","48.6%","51.4%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,564,317","1,270,981","1,293,336","161,165","146,592","143,774","167,935","216,666","465,543","381,795","333,366","143,903","118,832","155,121","86,326","43,299","34.5","2,022,755","1,900,597","352,593","284,746","2,022,755","996,781","1,025,974","284,746","120,949","163,797","","2,564,317","2,473,408","90,909","2,473,408","1,212,355","312,025","18,918","571","100","300","45","309,408","19,120","64,105","68,693","25,884","91,737","12,143","27,726","5,497","1,062","755","1,929","1,751","615,205","90,909","13,093","10,367","23,822","3,527","","2,564,317","1,284,879","340,956","40,894","344,904","10,397","642,822","","2,564,317","1,225,881","822,995","11,894","8,369","382,623","1,338,436","655,945","303,452","3,708","305,811","4,897","9,202","55,421","4,675","50,746","1,000,905","","1,480,237","717,789","762,448"
"    Percent","","2,564,317","49.6%","50.4%","6.3%","5.7%","5.6%","6.5%","8.4%","18.2%","14.9%","13.0%","5.6%","4.6%","6.0%","3.4%","1.7%","(X)","78.9%","74.1%","13.7%","11.1%","2,022,755","49.3%","50.7%","284,746","42.5%","57.5%","","2,564,317","96.5%","3.5%","96.5%","47.3%","12.2%","0.7%","0.0%","0.0%","0.0%","0.0%","12.1%","0.7%","2.5%","2.7%","1.0%","3.6%","0.5%","1.1%","0.2%","0.0%","0.0%","0.1%","0.1%","24.0%","3.5%","0.5%","0.4%","0.9%","0.1%","","2,564,317","50.1%","13.3%","1.6%","13.5%","0.4%","25.1%","","2,564,317","47.8%","32.1%","0.5%","0.3%","14.9%","52.2%","25.6%","11.8%","0.1%","11.9%","0.2%","0.4%","2.2%","0.2%","2.0%","(X)","","1,480,237","48.5%","51.5%"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","262,616","133,460","129,156","16,131","19,376","21,358","20,783","17,343","33,297","38,031","42,224","16,678","12,461","14,913","6,582","3,439","35.9","192,703","180,927","32,146","24,934","192,703","97,690","95,013","24,934","10,645","14,289","","262,616","245,185","17,431","245,185","185,061","10,886","1,291","28","0","20","0","29,629","4,174","2,936","11,971","1,491","5,288","927","2,842","409","80","75","124","130","17,909","17,431","2,198","4,484","4,681","1,034","","262,616","200,263","15,261","7,849","36,001","1,482","20,904","","262,616","81,843","59,499","1,383","1,457","19,504","180,773","129,026","10,116","375","29,238","396","394","11,228","267","10,961","85,073","","170,896","87,029","83,867"
"    Percent","","262,616","50.8%","49.2%","6.1%","7.4%","8.1%","7.9%","6.6%","12.7%","14.5%","16.1%","6.4%","4.7%","5.7%","2.5%","1.3%","(X)","73.4%","68.9%","12.2%","9.5%","192,703","50.7%","49.3%","24,934","42.7%","57.3%","","262,616","93.4%","6.6%","93.4%","70.5%","4.1%","0.5%","0.0%","0.0%","0.0%","0.0%","11.3%","1.6%","1.1%","4.6%","0.6%","2.0%","0.4%","1.1%","0.2%","0.0%","0.0%","0.0%","0.0%","6.8%","6.6%","0.8%","1.7%","1.8%","0.4%","","262,616","76.3%","5.8%","3.0%","13.7%","0.6%","8.0%","","262,616","31.2%","22.7%","0.5%","0.6%","7.4%","68.8%","49.1%","3.9%","0.1%","11.1%","0.2%","0.2%","4.3%","0.1%","4.2%","(X)","","170,896","50.9%","49.1%"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","190,947","96,260","94,687","14,474","14,131","15,508","15,851","13,304","26,986","24,576","25,950","11,474","9,642","11,726","5,241","2,084","33.0","136,826","127,852","24,340","19,051","136,826","67,824","69,002","19,051","8,359","10,692","","190,947","182,251","8,696","182,251","125,052","36,025","876","85","0","57","0","6,899","644","491","3,483","303","440","329","1,209","424","232","128","13","51","12,975","8,696","2,071","1,110","1,032","364","","190,947","131,901","40,042","3,454","8,966","988","15,543","","190,947","72,395","55,128","1,458","443","15,366","118,552","70,688","34,731","417","6,720","407","299","5,290","146","5,144","64,788","","125,529","61,844","63,685"
"    Percent","","190,947","50.4%","49.6%","7.6%","7.4%","8.1%","8.3%","7.0%","14.1%","12.9%","13.6%","6.0%","5.0%","6.1%","2.7%","1.1%","(X)","71.7%","67.0%","12.7%","10.0%","136,826","49.6%","50.4%","19,051","43.9%","56.1%","","190,947","95.4%","4.6%","95.4%","65.5%","18.9%","0.5%","0.0%","0.0%","0.0%","0.0%","3.6%","0.3%","0.3%","1.8%","0.2%","0.2%","0.2%","0.6%","0.2%","0.1%","0.1%","0.0%","0.0%","6.8%","4.6%","1.1%","0.6%","0.5%","0.2%","","190,947","69.1%","21.0%","1.8%","4.7%","0.5%","8.1%","","190,947","37.9%","28.9%","0.8%","0.2%","8.0%","62.1%","37.0%","18.2%","0.2%","3.5%","0.2%","0.2%","2.8%","0.1%","2.7%","(X)","","125,529","49.3%","50.7%"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","93,057","44,545","48,512","3,820","5,373","6,492","6,216","3,755","7,160","10,465","16,375","7,204","5,945","9,864","7,382","3,006","47.3","72,674","70,473","23,660","20,252","72,674","34,360","38,314","20,252","9,313","10,939","","93,057","87,076","5,981","87,076","59,299","2,319","179","26","4","0","0","21,300","1,346","6,301","1,646","5,733","3,925","261","2,088","547","76","52","185","234","3,432","5,981","366","1,049","2,741","41","","93,057","64,333","2,967","1,478","25,114","959","4,579","","93,057","15,263","11,447","494","352","2,970","77,794","49,688","2,227","168","21,068","457","336","3,850","361","3,489","37,706","","65,563","31,159","34,404"
"    Percent","","93,057","47.9%","52.1%","4.1%","5.8%","7.0%","6.7%","4.0%","7.7%","11.2%","17.6%","7.7%","6.4%","10.6%","7.9%","3.2%","(X)","78.1%","75.7%","25.4%","21.8%","72,674","47.3%","52.7%","20,252","46.0%","54.0%","","93,057","93.6%","6.4%","93.6%","63.7%","2.5%","0.2%","0.0%","0.0%","0.0%","0.0%","22.9%","1.4%","6.8%","1.8%","6.2%","4.2%","0.3%","2.2%","0.6%","0.1%","0.1%","0.2%","0.3%","3.7%","6.4%","0.4%","1.1%","2.9%","0.0%","","93,057","69.1%","3.2%","1.6%","27.0%","1.0%","4.9%","","93,057","16.4%","12.3%","0.5%","0.4%","3.2%","83.6%","53.4%","2.4%","0.2%","22.6%","0.5%","0.4%","4.1%","0.4%","3.7%","(X)","","65,563","47.5%","52.5%"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","273,354","133,987","139,367","14,985","14,371","15,798","16,602","17,027","39,489","38,099","40,570","19,025","16,116","22,385","12,750","6,137","39.9","217,340","208,294","50,411","41,272","217,340","104,034","113,306","41,272","17,592","23,680","","273,354","261,263","12,091","261,263","158,438","26,096","702","62","0","19","0","53,882","2,724","21,430","7,299","4,518","11,849","1,534","4,528","235","107","46","9","73","21,910","12,091","2,011","1,070","4,168","273","","273,354","168,313","30,030","2,617","59,951","884","24,783","","273,354","72,367","54,688","918","856","15,905","200,987","112,964","25,148","211","53,111","189","965","8,399","275","8,124","109,279","","187,065","89,065","98,000"
