"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Agoura Hills-Malibu CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","65,279","32,033","33,246","2,566","3,417","4,567","5,493","4,022","5,725","7,015","11,818","5,886","4,213","6,357","3,009","1,191","44.8","51,649","48,148","12,977","10,557","51,649","24,975","26,674","10,557","5,063","5,494","","65,279","62,845","2,434","62,845","55,174","1,282","93","0","5","0","7","4,617","1,005","1,370","650","426","501","103","562","33","0","8","25","0","1,646","2,434","314","427","1,079","93","","65,279","57,364","1,867","719","5,910","114","1,924","","65,279","6,890","4,423","146","187","2,134","58,389","50,448","1,197","65","4,547","33","113","1,986","82","1,904","27,189","","48,093","23,389","24,704"
"    Percent","","65,279","49.1%","50.9%","3.9%","5.2%","7.0%","8.4%","6.2%","8.8%","10.7%","18.1%","9.0%","6.5%","9.7%","4.6%","1.8%","(X)","79.1%","73.8%","19.9%","16.2%","51,649","48.4%","51.6%","10,557","48.0%","52.0%","","65,279","96.3%","3.7%","96.3%","84.5%","2.0%","0.1%","0.0%","0.0%","0.0%","0.0%","7.1%","1.5%","2.1%","1.0%","0.7%","0.8%","0.2%","0.9%","0.1%","0.0%","0.0%","0.0%","0.0%","2.5%","3.7%","0.5%","0.7%","1.7%","0.1%","","65,279","87.9%","2.9%","1.1%","9.1%","0.2%","2.9%","","65,279","10.6%","6.8%","0.2%","0.3%","3.3%","89.4%","77.3%","1.8%","0.1%","7.0%","0.1%","0.2%","3.0%","0.1%","2.9%","(X)","","48,093","48.6%","51.4%"
"Compton CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","347,905","168,787","179,118","26,400","25,722","26,448","29,184","28,992","50,892","44,626","46,102","18,689","14,506","20,485","11,508","4,351","32.0","251,817","233,849","44,461","36,344","251,817","119,332","132,485","36,344","15,060","21,284","","347,905","332,659","15,246","332,659","131,071","77,972","1,740","150","0","34","0","32,686","269","1,155","23,957","1,419","2,433","838","2,615","3,150","168","188","2,410","384","86,040","15,246","1,388","3,128","1,914","1,069","","347,905","142,800","84,254","8,339","36,405","4,327","90,020","","347,905","213,293","182,304","1,519","757","28,713","134,612","15,112","76,599","527","32,176","3,062","609","6,527","284","6,243","91,321","","190,227","88,917","101,310"
"    Percent","","347,905","48.5%","51.5%","7.6%","7.4%","7.6%","8.4%","8.3%","14.6%","12.8%","13.3%","5.4%","4.2%","5.9%","3.3%","1.3%","(X)","72.4%","67.2%","12.8%","10.4%","251,817","47.4%","52.6%","36,344","41.4%","58.6%","","347,905","95.6%","4.4%","95.6%","37.7%","22.4%","0.5%","0.0%","0.0%","0.0%","0.0%","9.4%","0.1%","0.3%","6.9%","0.4%","0.7%","0.2%","0.8%","0.9%","0.0%","0.1%","0.7%","0.1%","24.7%","4.4%","0.4%","0.9%","0.6%","0.3%","","347,905","41.0%","24.2%","2.4%","10.5%","1.2%","25.9%","","347,905","61.3%","52.4%","0.4%","0.2%","8.3%","38.7%","4.3%","22.0%","0.2%","9.2%","0.9%","0.2%","1.9%","0.1%","1.8%","(X)","","190,227","46.7%","53.3%"
"Downey-Norwalk CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","420,017","206,198","213,819","27,917","28,144","32,095","32,047","34,263","57,789","60,216","55,339","25,585","19,862","26,520","13,662","6,578","34.5","312,146","292,599","58,695","46,760","312,146","150,904","161,242","46,760","19,879","26,881","","420,017","407,573","12,444","407,573","207,573","30,347","1,983","135","4","57","70","69,555","7,669","11,313","23,473","2,562","14,188","2,951","7,399","1,290","63","292","840","95","96,825","12,444","1,287","1,418","2,038","263","","420,017","216,656","33,035","4,204","74,168","1,868","103,126","","420,017","256,415","214,067","2,297","2,169","37,882","163,602","57,824","29,087","897","68,831","1,215","882","4,866","764","4,102","122,194","","248,291","120,218","128,073"
"    Percent","","420,017","49.1%","50.9%","6.6%","6.7%","7.6%","7.6%","8.2%","13.8%","14.3%","13.2%","6.1%","4.7%","6.3%","3.3%","1.6%","(X)","74.3%","69.7%","14.0%","11.1%","312,146","48.3%","51.7%","46,760","42.5%","57.5%","","420,017","97.0%","3.0%","97.0%","49.4%","7.2%","0.5%","0.0%","0.0%","0.0%","0.0%","16.6%","1.8%","2.7%","5.6%","0.6%","3.4%","0.7%","1.8%","0.3%","0.0%","0.1%","0.2%","0.0%","23.1%","3.0%","0.3%","0.3%","0.5%","0.1%","","420,017","51.6%","7.9%","1.0%","17.7%","0.4%","24.6%","","420,017","61.0%","51.0%","0.5%","0.5%","9.0%","39.0%","13.8%","6.9%","0.2%","16.4%","0.3%","0.2%","1.2%","0.2%","1.0%","(X)","","248,291","48.4%","51.6%"
"East San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
